"","NAME","NAME_ENGLISH","CONCEPT","BINOMIAL","RANK","VALID","phenosmall","phenobig","image","URL","new_concept","new_binomial","new_englishname","changed"
"24","Zygaena trifolii","Five-Spot Burnet","Lep_1510","Zygaena trifolii","Species","V","phenology/VZygaena_trifolii.png","phenology/VZygaena_trifolii_big.png","0170fivespotburnet.jpg,fivespotburnetlarvapo.jpg,fivespotburnetlarvaepo.jpg,fivespotburnetcocoonpo.jpg","http://ukmoths.org.uk/species/zygaena-trifolii","Lep_1510","Zygaena trifolii","Five-Spot Burnet",FALSE
"25","Zygaena lonicerae","Narrow-bordered Five-spot Burnet","Lep_1513","Zygaena lonicerae","Species","V","phenology/VZygaena_lonicerae.png","phenology/VZygaena_lonicerae_big.png","0171zygaenalonicerae.jpg,0171z_loniceraefcitrinaph.jpg,0171zygaenaloniceraepupa.jpg,0171zygaenaloniceraeeggs.jpg","http://ukmoths.org.uk/species/zygaena-lonicerae","Lep_1513","Zygaena lonicerae","Narrow-bordered Five-spot Burnet",FALSE
"26","Zygaena purpuralis","Transparent Burnet","Lep_1516","Zygaena purpuralis","Species","V","phenology/VZygaena_purpuralis.png","phenology/VZygaena_purpuralis_big.png","purpuralis3.jpg","http://ukmoths.org.uk/species/zygaena-purpuralis","Lep_1516","Zygaena purpuralis","Transparent Burnet",FALSE
"27","Apoda limacodes","The Festoon","Lep_1519","Apoda limacodes","Species","V","phenology/VApoda_limacodes.png","phenology/VApoda_limacodes_big.png","0173a_limacodespk.jpg,festoon.jpg,0173thefestoonlarvagf.jpg","http://ukmoths.org.uk/species/apoda-limacodes","Lep_1519","Apoda limacodes","The Festoon",FALSE
"28","Heterogenea asella","The Triangle","Lep_1522","Heterogenea asella","Species","V","phenology/VHeterogenea_asella.png","phenology/VHeterogenea_asella_big.png","0174thetriangle.jpg,0174h_asellafs.jpg,0174heterogenea_asellalarvairt.jpg","http://ukmoths.org.uk/species/heterogenea-asella","Lep_1522","Heterogenea asella","The Triangle",FALSE
"29","Pennisetia hylaeiformis","Raspberry Clearwing","Lep_2108","Pennisetia hylaeiformis","Species","V","phenology/VPennisetia_hylaeiformis.png","phenology/VPennisetia_hylaeiformis_big.png","0369ap_hylaeiformiscb.jpg,0369ap_hylaeiformisgall1cb.jpg,0369ap_hylaeiformisgallcb.jpg,0369ap_hylaeiformisgall2cb.jpg","http://ukmoths.org.uk/species/pennisetia-hylaeiformis","Lep_2108","Pennisetia hylaeiformis","Raspberry Clearwing",FALSE
"30","Sesia apiformis","Hornet Moth","Lep_2110","Sesia apiformis","Species","V","phenology/VSesia_apiformis.png","phenology/VSesia_apiformis_big.png","0370s_apiformisab.jpg,0370s_apiformistb.jpg,hornetmothrn.jpg,0370sesia_apiformisexuviaedh.jpg","http://ukmoths.org.uk/species/sesia-apiformis","Lep_2110","Sesia apiformis","Hornet Moth",FALSE
"31","Sesia bembeciformis","Lunar Hornet Moth","Lep_2113","Sesia bembeciformis","Species","V","phenology/VSesia_bembeciformis.png","phenology/VSesia_bembeciformis_big.png","lunarhornetmoth.jpg,0371s_bembeciformisph.jpg,0371s_bembeciformisaw.jpg,0371s_bembeciformisovaaw.jpg","http://ukmoths.org.uk/species/sesia-bembeciformis","Lep_2113","Sesia bembeciformis","Lunar Hornet Moth",FALSE
"32","Synanthedon tipuliformis","Currant Clearwing","Lep_2119","Synanthedon tipuliformis","Species","V","phenology/VSynanthedon_tipuliformis.png","phenology/VSynanthedon_tipuliformis_big.png","0373s_tipuliformisrk.jpg,0373s_tipuliformisiw.jpg","http://ukmoths.org.uk/species/synanthedon-tipuliformis","Lep_2119","Synanthedon tipuliformis","Currant Clearwing",FALSE
"33","Synanthedon vespiformis","Yellow-legged Clearwing","Lep_2122","Synanthedon vespiformis","Species","V","phenology/VSynanthedon_vespiformis.png","phenology/VSynanthedon_vespiformis_big.png","yellowleggedclearwingjo.jpg,yellowleggedclearwing.jpg","http://ukmoths.org.uk/species/synanthedon-vespiformis","Lep_2122","Synanthedon vespiformis","Yellow-legged Clearwing",FALSE
"34","Synanthedon spheciformis","White-barred Clearwing","Lep_2125","Synanthedon spheciformis","Species","V","phenology/VSynanthedon_spheciformis.png","phenology/VSynanthedon_spheciformis_big.png","whitebarredclearwingrh.jpg,whitebarredclearwing2rh.jpg","http://ukmoths.org.uk/species/synanthedon-spheciformis","Lep_2125","Synanthedon spheciformis","White-barred Clearwing",FALSE
"35","Synanthedon scoliaeformis","Welsh Clearwing","Lep_2128","Synanthedon scoliaeformis","Species","V","phenology/VSynanthedon_scoliaeformis.png","phenology/VSynanthedon_scoliaeformis_big.png","0376s_scoliaeformiskt.jpg,0376s_scoliaeformisdg.jpg","http://ukmoths.org.uk/species/synanthedon-scoliaeformis","Lep_2128","Synanthedon scoliaeformis","Welsh Clearwing",FALSE
"36","Synanthedon flaviventris","Sallow Clearwing","Lep_2131","Synanthedon flaviventris","Species","V","phenology/VSynanthedon_flaviventris.png","phenology/VSynanthedon_flaviventris_big.png","sallowclearwing.jpg","http://ukmoths.org.uk/species/synanthedon-flaviventris","Lep_2131","Synanthedon flaviventris","Sallow Clearwing",FALSE
"37","Synanthedon andrenaeformis","Orange-tailed Clearwing","Lep_2134","Synanthedon andrenaeformis","Species","V","phenology/VSynanthedon_andrenaeformis.png","phenology/VSynanthedon_andrenaeformis_big.png","378s_andrenaeformisjn.jpg,orangetailedclearwing.jpg","http://ukmoths.org.uk/species/synanthedon-andrenaeformis","Lep_2134","Synanthedon andrenaeformis","Orange-tailed Clearwing",FALSE
"38","Synanthedon myopaeformis","Red-belted Clearwing","Lep_2137","Synanthedon myopaeformis","Species","V","phenology/VSynanthedon_myopaeformis.png","phenology/VSynanthedon_myopaeformis_big.png","0379s_myopaeformisrk.jpg,0379s_myopaeformisrk2.jpg","http://ukmoths.org.uk/species/synanthedon-myopaeformis","Lep_2137","Synanthedon myopaeformis","Red-belted Clearwing",FALSE
"39","Synanthedon formicaeformis","Red-tipped Clearwing","Lep_2140","Synanthedon formicaeformis","Species","V","phenology/VSynanthedon_formicaeformis.png","phenology/VSynanthedon_formicaeformis_big.png","redtippedclearwing.jpg,0380s_formicaeformisrk.jpg,0380s_formicaeformisivl.jpg","http://ukmoths.org.uk/species/synanthedon-formicaeformis","Lep_2140","Synanthedon formicaeformis","Red-tipped Clearwing",FALSE
"40","Synanthedon culiciformis","Large Red-belted Clearwing","Lep_2143","Synanthedon culiciformis","Species","V","phenology/VSynanthedon_culiciformis.png","phenology/VSynanthedon_culiciformis_big.png","0381c_culiciformismvp.jpg,0381s_culiciformisrk2.jpg,0381s_culiciformisfs.jpg,0381s_culiciformisrk3.jpg","http://ukmoths.org.uk/species/synanthedon-culiciformis","Lep_2143","Synanthedon culiciformis","Large Red-belted Clearwing",FALSE
"41","Bembecia ichneumoniformis","Six-belted Clearwing","Lep_2146","Bembecia ichneumoniformis","Species","V","phenology/VBembecia_ichneumoniformis.png","phenology/VBembecia_ichneumoniformis_big.png","six-beltedclearwingajm.jpg,0382b_ichneumoniformismvp.jpg,6bcw1ph.jpg","http://ukmoths.org.uk/species/bembecia-ichneumoniformis","Lep_2146","Bembecia ichneumoniformis","Six-belted Clearwing",FALSE
"42","Synansphecia muscaeformis","Thrift Clearwing","Lep_2149","Synansphecia muscaeformis","Species","V","phenology/VSynansphecia_muscaeformis.png","phenology/VSynansphecia_muscaeformis_big.png","","http://ukmoths.org.uk","Lep_2149","Pyropteron muscaeformis","Thrift Clearwing",TRUE
"43","Pyropteron chrysidiformis","Fiery Clearwing","Lep_2152","Pyropteron chrysidiformis","Species","V","phenology/VPyropteron_chrysidiformis.png","phenology/VPyropteron_chrysidiformis_big.png","","http://ukmoths.org.uk","Lep_2152","Pyropteron chrysidiformis","Fiery Clearwing",FALSE
"44","Poecilocampa populi","December Moth","Lep_5893","Poecilocampa populi","Species","V","phenology/VPoecilocampa_populi.png","phenology/VPoecilocampa_populi_big.png","1631p_populing.jpg,1631decembermothlarvagf.jpg","http://ukmoths.org.uk/species/poecilocampa-populi","Lep_5893","Poecilocampa populi","December Moth",FALSE
"45","Trichiura crataegi","Pale Eggar","Lep_5896","Trichiura crataegi","Species","V","phenology/VTrichiura_crataegi.png","phenology/VTrichiura_crataegi_big.png","paleeggar.jpg,1632t_crataeginr.jpg","http://ukmoths.org.uk/species/trichiura-crataegi","Lep_5896","Trichiura crataegi","Pale Eggar",FALSE
"46","Eriogaster lanestris","Small Eggar","Lep_5899","Eriogaster lanestris","Species","V","phenology/VEriogaster_lanestris.png","phenology/VEriogaster_lanestris_big.png","smalleggardh6.jpg,smalleggarph.jpg,e_lanestris_larval_nest_scb_d1_005_ngd.jpg","http://ukmoths.org.uk/species/eriogaster-lanestris","Lep_5899","Eriogaster lanestris","Small Eggar",FALSE
"47","Malacosoma neustria","The Lackey","Lep_5902","Malacosoma neustria","Species","V","phenology/VMalacosoma_neustria.png","phenology/VMalacosoma_neustria_big.png","1634_malacosoma_neustriangd.jpg,1634thelackey.jpg,1634m_neustrianh.jpg","http://ukmoths.org.uk/species/malacosoma-neustria","Lep_5902","Malacosoma neustria","The Lackey",FALSE
"48","Malacosoma castrensis","Ground Lackey","Lep_5905","Malacosoma castrensis","Species","V","phenology/VMalacosoma_castrensis.png","phenology/VMalacosoma_castrensis_big.png","1635m_castrensisph.jpg","http://ukmoths.org.uk/species/malacosoma-castrensis","Lep_5905","Malacosoma castrensis","Ground Lackey",FALSE
"49","Lasiocampa trifolii","Grass Eggar","Lep_5908","Lasiocampa trifolii","Species","V","phenology/VLasiocampa_trifolii.png","phenology/VLasiocampa_trifolii_big.png","1636grasseggar.jpg,grasseggarlarva2.jpg","http://ukmoths.org.uk/species/lasiocampa-trifolii","Lep_5908","Lasiocampa trifolii","Grass Eggar",FALSE
"50","Lasiocampa quercus","Oak Eggar","Lep_5911","Lasiocampa quercus","Species","V","phenology/VLasiocampa_quercus.png","phenology/VLasiocampa_quercus_big.png","1637northerneggarpairrl.jpg,1637l_quercusnr.jpg,1637oakeggar.jpg","http://ukmoths.org.uk/species/lasiocampa-quercus","Lep_5911","Lasiocampa quercus","Oak Eggar",FALSE
"51","Macrothylacia rubi","Fox Moth","Lep_5914","Macrothylacia rubi","Species","V","phenology/VMacrothylacia_rubi.png","phenology/VMacrothylacia_rubi_big.png","1638m_rubiik.jpg,foxmothlarva.jpg","http://ukmoths.org.uk/species/macrothylacia-rubi","Lep_5914","Macrothylacia rubi","Fox Moth",FALSE
"52","Dendrolimus pini","Pine-tree Lappet","Lep_5917","Dendrolimus pini","Species","V","phenology/VDendrolimus_pini.png","phenology/VDendrolimus_pini_big.png","d_pinirk.jpg,1639d_pinikt.jpg,1639d_pinilarvakt.jpg","http://ukmoths.org.uk/species/dendrolimus-pini","Lep_5917","Dendrolimus pini","Pine-tree Lappet",FALSE
"53","Euthrix potatoria","The Drinker","Lep_5920","Euthrix potatoria","Species","V","phenology/VEuthrix_potatoria.png","phenology/VEuthrix_potatoria_big.png","drinker220898.jpg,1640e_potatoriajw.jpg,1640e_potatorialarvaaa.jpg,drinkerlarva2.jpg,1640thedrinkerlarvajo.jpg","http://ukmoths.org.uk/species/euthrix-potatoria","Lep_5920","Euthrix potatoria","The Drinker",FALSE
"54","Gastropacha quercifolia","The Lappet","Lep_5926","Gastropacha quercifolia","Species","V","phenology/VGastropacha_quercifolia.png","phenology/VGastropacha_quercifolia_big.png","lappet.jpg,gastropacha_quercus_larva_scr_d1_001_ngd.jpg","http://ukmoths.org.uk/species/gastropacha-quercifolia","Lep_5926","Gastropacha quercifolia","The Lappet",FALSE
"55","Saturnia pavonia","Emperor Moth","Lep_5929","Saturnia pavonia","Species","V","phenology/VSaturnia_pavonia.png","phenology/VSaturnia_pavonia_big.png","1643s_pavoniadw.jpg,1643emperor2.jpg,1643emperormoth.jpg,emperorfemaleag.jpg,1643s_pavoniasc.jpg,pavonia_larva_4thnp.jpg,pavonia_larva_5thnp.jpg,1643emperormothlarvagf.jpg","http://ukmoths.org.uk/species/saturnia-pavonia","Lep_5929","Saturnia pavonia","Emperor Moth",FALSE
"56","Saturnia pyri","Great Peacock","Lep_5930","Saturnia pyri","Species","V","phenology/VSaturnia_pyri.png","phenology/VSaturnia_pyri_big.png","1643agreatpeacockmoth.jpg,pyri_larva_youngnp.jpg,pyri_larva_5thnp.jpg","http://ukmoths.org.uk/species/saturnia-pyri","Lep_5930","Saturnia pyri","Great Peacock",FALSE
"57","Endromis versicolora","Kentish Glory","Lep_5932","Endromis versicolora","Species","V","phenology/VEndromis_versicolora.png","phenology/VEndromis_versicolora_big.png","1644endromisversicoloramalecs.jpg,1644kentishglorygf.jpg,1644endromisversicolorafemalecs.jpg,1644kentishgloryeggsgf.jpg","http://ukmoths.org.uk/species/endromis-versicolora","Lep_5932","Endromis versicolora","Kentish Glory",FALSE
"58","Falcaria lacertinaria","Scalloped Hook-tip","Lep_5935","Falcaria lacertinaria","Species","V","phenology/VFalcaria_lacertinaria.png","phenology/VFalcaria_lacertinaria_big.png","1645f_lacertinariabs.jpg,1645scallopedhooktip.jpg,scallopedhooktip.jpg,1645f_lacertinarialarvabs2.jpg,1645f_lacertinarialarvabs.jpg,1645scallopedhooktiplarvagf.jpg","http://ukmoths.org.uk/species/falcaria-lacertinaria","Lep_5935","Falcaria lacertinaria","Scalloped Hook-tip",FALSE
"59","Watsonalla binaria","Oak Hook-tip","Lep_5938","Watsonalla binaria","Species","V","phenology/VWatsonalla_binaria.png","phenology/VWatsonalla_binaria_big.png","1646d_binarialarvalt.jpg,1646oakhooktip.jpg","http://ukmoths.org.uk/species/watsonalla-binaria","Lep_5938","Watsonalla binaria","Oak Hook-tip",FALSE
"60","Watsonalla cultraria","Barred Hook-tip","Lep_5941","Watsonalla cultraria","Species","V","phenology/VWatsonalla_cultraria.png","phenology/VWatsonalla_cultraria_big.png","barredhooktip1ngd.jpg,barredhooktip2ngd.jpg,barredhooktip.jpg","http://ukmoths.org.uk/species/watsonalla-cultraria","Lep_5941","Watsonalla cultraria","Barred Hook-tip",FALSE
"61","Drepana falcataria","Pebble Hook-tip","Lep_5944","Drepana falcataria","Species","V","phenology/VDrepana_falcataria.png","phenology/VDrepana_falcataria_big.png","1648drepanafalcataria.jpg,pebblehooktiplarva.jpg","http://ukmoths.org.uk/species/drepana-falcataria","Lep_5944","Drepana falcataria","Pebble Hook-tip",FALSE
"62","Drepana curvatula","Dusky Hook-tip","Lep_5947","Drepana curvatula","Species","V","phenology/VDrepana_curvatula.png","phenology/VDrepana_curvatula_big.png","1649d_curvatulaph.jpg,duskyhooktip.jpg,duskyhooktiplarva2.jpg,duskyhooktiplarva.jpg","http://ukmoths.org.uk/species/drepana-curvatula","Lep_5947","Drepana curvatula","Dusky Hook-tip",FALSE
"63","Sabra harpagula","Scarce Hook-tip","Lep_5950","Sabra harpagula","Species","V","phenology/VSabra_harpagula.png","phenology/VSabra_harpagula_big.png","1650scarcehooktip.jpg,1650s_harpagulabs.jpg","http://ukmoths.org.uk/species/sabra-harpagula","Lep_5950","Sabra harpagula","Scarce Hook-tip",FALSE
"64","Cilix glaucata","Chinese Character","Lep_5953","Cilix glaucata","Species","V","phenology/VCilix_glaucata.png","phenology/VCilix_glaucata_big.png","1651chinesecharacter2.jpg","http://ukmoths.org.uk/species/cilix-glaucata","Lep_5953","Cilix glaucata","Chinese Character",FALSE
"65","Thyatira batis","Peach Blossom","Lep_5956","Thyatira batis","Species","V","phenology/VThyatira_batis.png","phenology/VThyatira_batis_big.png","peachblossom020602.jpg,peachblossom1.jpg,1652t_batisnp.jpg,1652peachblossomlarvabs.jpg","http://ukmoths.org.uk/species/thyatira-batis","Lep_5956","Thyatira batis","Peach Blossom",FALSE
"66","Habrosyne pyritoides","Buff Arches","Lep_5959","Habrosyne pyritoides","Species","V","phenology/VHabrosyne_pyritoides.png","phenology/VHabrosyne_pyritoides_big.png","1653h_pyritoidesik.jpg,1653h_pyritoidesnp.jpg","http://ukmoths.org.uk/species/habrosyne-pyritoides","Lep_5959","Habrosyne pyritoides","Buff Arches",FALSE
"67","Tethea ocularis","Figure of Eighty","Lep_5962","Tethea ocularis","Species","V","phenology/VTethea_ocularis.png","phenology/VTethea_ocularis_big.png","figureofeighty.jpg","http://ukmoths.org.uk/species/tethea-ocularis","Lep_5962","Tethea ocularis","Figure of Eighty",FALSE
"68","Tethea or","Poplar Lutestring","Lep_5965","Tethea or","Species","V","phenology/VTethea_or.png","phenology/VTethea_or_big.png","1655poplarlutestringgf.jpg,1655t_orcj.jpg,1655t_or2cj.jpg","http://ukmoths.org.uk/species/tethea-or","Lep_5965","Tethea or","Poplar Lutestring",FALSE
"69","Tetheella fluctuosa","Satin Lutestring","Lep_5968","Tetheella fluctuosa","Species","V","phenology/VTetheella_fluctuosa.png","phenology/VTetheella_fluctuosa_big.png","1656t_fluctuosatb.jpg","http://ukmoths.org.uk/species/tetheella-fluctuosa","Lep_5968","Tetheella fluctuosa","Satin Lutestring",FALSE
"70","Ochropacha duplaris","Common Lutestring","Lep_5971","Ochropacha duplaris","Species","V","phenology/VOchropacha_duplaris.png","phenology/VOchropacha_duplaris_big.png","1657o_duplarisbs.jpg,1657o_duplarisph.jpg,commonlutestring.jpg,1657o_duplarislarvabs.jpg","http://ukmoths.org.uk/species/ochropacha-duplaris","Lep_5971","Ochropacha duplaris","Common Lutestring",FALSE
"71","Cymatophorima diluta","Oak Lutestring","Lep_5974","Cymatophorima diluta","Species","V","phenology/VCymatophorima_diluta.png","phenology/VCymatophorima_diluta_big.png","","http://ukmoths.org.uk","Lep_5974","Cymatophorima diluta","Oak Lutestring",FALSE
"72","Achlya flavicornis","Yellow Horned","Lep_5977","Achlya flavicornis","Species","V","phenology/VAchlya_flavicornis.png","phenology/VAchlya_flavicornis_big.png","1659a_flavicorniswp.jpg,1659yellowhornedlarvagf.jpg","http://ukmoths.org.uk/species/achlya-flavicornis","Lep_5977","Achlya flavicornis","Yellow Horned",FALSE
"73","Polyploca ridens","Frosted Green","Lep_5980","Polyploca ridens","Species","V","phenology/VPolyploca_ridens.png","phenology/VPolyploca_ridens_big.png","1660p_ridenspk.jpg,1660frostedgreen2.jpg","http://ukmoths.org.uk/species/polyploca-ridens","Lep_5980","Polyploca ridens","Frosted Green",FALSE
"74","Archiearis parthenias","Orange Underwing","Lep_5983","Archiearis parthenias","Species","V","phenology/VArchiearis_parthenias.png","phenology/VArchiearis_parthenias_big.png","orangeunderwing.jpg,1661orangeunderwing.jpg","http://ukmoths.org.uk/species/archiearis-parthenias","Lep_5983","Archiearis parthenias","Orange Underwing",FALSE
"75","Archiearis notha","Light Orange Underwing","Lep_5986","Archiearis notha","Species","V","phenology/VArchiearis_notha.png","phenology/VArchiearis_notha_big.png","","http://ukmoths.org.uk","Lep_5986","Boudinotiana notha","Light Orange Underwing",TRUE
"76","Alsophila aescularia","March Moth","Lep_5989","Alsophila aescularia","Species","V","phenology/VAlsophila_aescularia.png","phenology/VAlsophila_aescularia_big.png","marchmothik.jpg,marchmoth.jpg,1663marchmothfemalerl.jpg,marchmothlarva.jpg","http://ukmoths.org.uk/species/alsophila-aescularia","Lep_5989","Alsophila aescularia","March Moth",FALSE
"77","Aplasta ononaria","Rest Harrow","Lep_5992","Aplasta ononaria","Species","V","phenology/VAplasta_ononaria.png","phenology/VAplasta_ononaria_big.png","1664restharrow.jpg","http://ukmoths.org.uk/species/aplasta-ononaria","Lep_5992","Aplasta ononaria","Rest Harrow",FALSE
"78","Pseudoterpna pruinata","Grass Emerald","Lep_5995","Pseudoterpna pruinata","Species","V","phenology/VPseudoterpna_pruinata.png","phenology/VPseudoterpna_pruinata_big.png","1665_pseudoterpna_pruinatangd.jpg,1665_pseudoterpna_pruinatangd2.jpg,1665pseudoterpnapruinatacs.jpg","http://ukmoths.org.uk/species/pseudoterpna-pruinata","Lep_5995","Pseudoterpna pruinata","Grass Emerald",FALSE
"79","Geometra papilionaria","Large Emerald","Lep_5998","Geometra papilionaria","Species","V","phenology/VGeometra_papilionaria.png","phenology/VGeometra_papilionaria_big.png","1666geometrapapilionariaik.jpg,1666_geometra_papilionariangd.jpg,1666largeemeraldlarva2gf.jpg,1666largeemeraldlarvagf.jpg","http://ukmoths.org.uk/species/geometra-papilionaria","Lep_5998","Geometra papilionaria","Large Emerald",FALSE
"80","Comibaena bajularia","Blotched Emerald","Lep_6001","Comibaena bajularia","Species","V","phenology/VComibaena_bajularia.png","phenology/VComibaena_bajularia_big.png","1667blotchedemerald.jpg","http://ukmoths.org.uk/species/comibaena-bajularia","Lep_6001","Comibaena bajularia","Blotched Emerald",FALSE
"81","Hemithea aestivaria","Common Emerald","Lep_6007","Hemithea aestivaria","Species","V","phenology/VHemithea_aestivaria.png","phenology/VHemithea_aestivaria_big.png","1669commonemerald.jpg,1669h_aestivariapupabs.jpg","http://ukmoths.org.uk/species/hemithea-aestivaria","Lep_6007","Hemithea aestivaria","Common Emerald",FALSE
