"","NAME","NAME_ENGLISH","CONCEPT","BINOMIAL","RANK","VALID","phenosmall","phenobig","image","URL","new_concept","new_binomial","new_englishname","changed"
"1","Hoplodrina",NA,"Lep_10050",NA,"Genus","V","phenology/VHoplodrina.png","phenology/VHoplodrina_big.png","","http://ukmoths.org.uk","Lep_10050",NA,NA,NA
"2","Mesapamea",NA,"Lep_10188",NA,"Genus","V","phenology/VMesapamea.png","phenology/VMesapamea_big.png","","http://ukmoths.org.uk","Lep_10188",NA,NA,NA
"3","Oligia",NA,"Lep_10280",NA,"Genus","V","phenology/VOligia.png","phenology/VOligia_big.png","","http://ukmoths.org.uk","Lep_10280",NA,NA,NA
"4","Hepialus humuli","Ghost Moth","Lep_1042","Hepialus humuli","Species","V","phenology/VHepialus_humuli.png","phenology/VHepialus_humuli_big.png","ghostmothmale.jpg,0014h_humulimh.jpg,0014hepialushumulifemaleik.jpg,0014h_humulinr.jpg","http://ukmoths.org.uk/species/hepialus-humuli","Lep_1042","Hepialus humuli","Ghost Moth",FALSE
"5","Hepialus sylvina","Orange Swift","Lep_1045","Hepialus sylvina","Species","V","phenology/VHepialus_sylvina.png","phenology/VHepialus_sylvina_big.png","","http://ukmoths.org.uk","Lep_1045","Triodia sylvina","Orange Swift",TRUE
"6","Hepialus hecta","Gold Swift","Lep_1048","Hepialus hecta","Species","V","phenology/VHepialus_hecta.png","phenology/VHepialus_hecta_big.png","","http://ukmoths.org.uk","Lep_1048","Phymatopus hecta","Gold Swift",TRUE
"7","Hepialus lupulinus","Common Swift","Lep_1051","Hepialus lupulinus","Species","V","phenology/VHepialus_lupulinus.png","phenology/VHepialus_lupulinus_big.png","","http://ukmoths.org.uk","Lep_1051","Korscheltellus lupulina","Common Swift",TRUE
"8","Hepialus fusconebulosa","Map-winged Swift","Lep_1054","Hepialus fusconebulosa","Species","V","phenology/VHepialus_fusconebulosa.png","phenology/VHepialus_fusconebulosa_big.png","","http://ukmoths.org.uk","Lep_1054","Korscheltellus fusconebulosa","Map-winged Swift",TRUE
"9","Zygaena",NA,"Lep_10715",NA,"Genus","V","phenology/VZygaena.png","phenology/VZygaena_big.png","","http://ukmoths.org.uk","Lep_10715",NA,NA,NA
"10","Agrotis trux subsp. lunigera","Crescent Dart","Lep_10719","Agrotis trux","Subspecies","V","phenology/VAgrotis_trux_subsp._lunigera.png","phenology/VAgrotis_trux_subsp._lunigera_big.png","","http://ukmoths.org.uk/species/agrotis-trux","Lep_10719","Agrotis trux","Crescent Dart",FALSE
"11","Carsia sororiata subsp. anglica","Manchester Treble-bar","Lep_10720","Carsia sororiata","Subspecies","V","phenology/VCarsia_sororiata_subsp._anglica.png","phenology/VCarsia_sororiata_subsp._anglica_big.png","","http://ukmoths.org.uk/species/carsia-sororiata","Lep_10720","Carsia sororiata","Manchester Treble-bar",FALSE
"12","Chortodes morrisii subsp. morrisii","Morris's Wainscot","Lep_10721","Chortodes morrisii","Subspecies","P","phenology/PChortodes_morrisii_subsp._morrisii.png","phenology/PChortodes_morrisii_subsp._morrisii_big.png","","http://ukmoths.org.uk",NA,NA,NA,NA
"13","Pseudoips prasinana subsp. britannica","Green Silver-lines","Lep_10724","Pseudoips prasinana","Subspecies","P","phenology/PPseudoips_prasinana_subsp._britannica.png","phenology/PPseudoips_prasinana_subsp._britannica_big.png","","http://ukmoths.org.uk/species/pseudoips-prasinana",NA,NA,NA,NA
"14","Scotopteryx luridata subsp. plumbaria","July Belle","Lep_10725","Scotopteryx luridata","Subspecies","P","phenology/PScotopteryx_luridata_subsp._plumbaria.png","phenology/PScotopteryx_luridata_subsp._plumbaria_big.png","","http://ukmoths.org.uk/species/scotopteryx-luridata",NA,NA,NA,NA
"15","Phragmataecia castaneae","Reed Leopard","Lep_1480","Phragmataecia castaneae","Species","V","phenology/VPhragmataecia_castaneae.png","phenology/VPhragmataecia_castaneae_big.png","0161reedleopard.jpg","http://ukmoths.org.uk/species/phragmataecia-castaneae","Lep_1480","Phragmataecia castaneae","Reed Leopard",FALSE
"16","Zeuzera pyrina","Leopard Moth","Lep_1483","Zeuzera pyrina","Species","V","phenology/VZeuzera_pyrina.png","phenology/VZeuzera_pyrina_big.png","leopardmothph.jpg,161leopardmoth.jpg","http://ukmoths.org.uk/species/zeuzera-pyrina","Lep_1483","Zeuzera pyrina","Leopard Moth",FALSE
"17","Cossus cossus","Goat Moth","Lep_1486","Cossus cossus","Species","V","phenology/VCossus_cossus.png","phenology/VCossus_cossus_big.png","0162goatmoth.jpg,0162goatmothlarvagf.jpg","http://ukmoths.org.uk/species/cossus-cossus","Lep_1486","Cossus cossus","Goat Moth",FALSE
"18","Adscita statices","The Forester","Lep_1489","Adscita statices","Species","V","phenology/VAdscita_statices.png","phenology/VAdscita_statices_big.png","0163a_staticestb.jpg,0163forester.jpg","http://ukmoths.org.uk/species/adscita-statices","Lep_1489","Adscita statices","The Forester",FALSE
"19","Adscita geryon","Cistus Forester","Lep_1492","Adscita geryon","Species","V","phenology/VAdscita_geryon.png","phenology/VAdscita_geryon_big.png","0164cistusforester.jpg","http://ukmoths.org.uk/species/adscita-geryon","Lep_1492","Adscita geryon","Cistus Forester",FALSE
"20","Jordanita globulariae","Scarce Forester","Lep_1495","Jordanita globulariae","Species","V","phenology/VJordanita_globulariae.png","phenology/VJordanita_globulariae_big.png","0165scarceforesterrl.jpg,0165j_globulariaefs.jpg,0165j_globulariaefs2.jpg","http://ukmoths.org.uk/species/jordanita-globulariae","Lep_1495","Jordanita globulariae","Scarce Forester",FALSE
"21","Zygaena exulans","Scotch Burnet","Lep_1498","Zygaena exulans","Species","V","phenology/VZygaena_exulans.png","phenology/VZygaena_exulans_big.png","0166zygaena_exulansrl.jpg,0166zygaena_exulansev.jpg,0166zygaena_exulansjc.jpg,0166zygaena_exulanslarvajc.jpg","http://ukmoths.org.uk/species/zygaena-exulans","Lep_1498","Zygaena exulans","Scotch Burnet",FALSE
"22","Zygaena loti","Slender Scotch Burnet","Lep_1501","Zygaena loti","Species","V","phenology/VZygaena_loti.png","phenology/VZygaena_loti_big.png","loti1.jpg","http://ukmoths.org.uk/species/zygaena-loti","Lep_1501","Zygaena loti","Slender Scotch Burnet",FALSE
"23","Zygaena filipendulae","Six-Spot Burnet","Lep_1507","Zygaena filipendulae","Species","V","phenology/VZygaena_filipendulae.png","phenology/VZygaena_filipendulae_big.png","0169z_filipendulaemvp.jpg,0169z_filipendulaeflavacg.jpg,0169z_filipendulaeflava2cg.jpg","http://ukmoths.org.uk/species/zygaena-filipendulae","Lep_1507","Zygaena filipendulae","Six-Spot Burnet",FALSE
